Parameter,Value,Compound
Kp-L,0.644658578,Imidacloprid
Kn-L,0.85672634,Imidacloprid
fsoil,0.368,Imidacloprid
Hsoil,0.05,Imidacloprid
Psoil,1.95,Imidacloprid
cf1,100,Imidacloprid
cf2,1000,Imidacloprid
KupSoil,50.81680722,Imidacloprid
KelAir,4.47E-08,Imidacloprid
KelDeg,0.141458608,Imidacloprid
KelGrow,0.035,Imidacloprid
KdissSoil,2.34536171,Imidacloprid
fsurface,0.467,Imidacloprid
LAI,2,Imidacloprid
LMA,0.08,Imidacloprid
Wleaf,0.8,Imidacloprid
KupSurface,2.20E-05,Imidacloprid
KdissSurface,9.381446841,Imidacloprid
logKow,0.57,Imidacloprid
Kp-L,0.348774503,Thiamethoxam
Kn-L,0.880185208,Thiamethoxam
fsoil,0.368,Thiamethoxam
Hsoil,0.05,Thiamethoxam
Psoil,1.95,Thiamethoxam
cf1,100,Thiamethoxam
cf2,1000,Thiamethoxam
KupSoil,1.51E+01,Thiamethoxam
KelAir,1.33E-07,Thiamethoxam
KelDeg,0.15753345,Thiamethoxam
KelGrow,0.035,Thiamethoxam
KdissSoil,2.95E+00,Thiamethoxam
fsurface,0.467,Thiamethoxam
LAI,2,Thiamethoxam
LMA,0.08,Thiamethoxam
Wleaf,0.8,Thiamethoxam
KupSurface,1.82E-06,Thiamethoxam
KdissSurface,11.79674982,Thiamethoxam
logKow,-0.13,Thiamethoxam
Kp-L,0.858618125,Clothianidin
Kn-L,0.807255925,Clothianidin
fsoil,0.368,Clothianidin
Hsoil,0.05,Clothianidin
Psoil,1.95,Clothianidin
cf1,100,Clothianidin
cf2,1000,Clothianidin
KupSoil,7.18E+01,Clothianidin
KelAir,6.91E-09,Clothianidin
KelDeg,0.041755854,Clothianidin
KelGrow,0.035,Clothianidin
KdissSoil,1.89E+00,Clothianidin
fsurface,0.467,Clothianidin
LAI,2,Clothianidin
LMA,0.08,Clothianidin
Wleaf,0.8,Clothianidin
KupSurface,5.45E-05,Clothianidin
KdissSurface,7.556881145,Clothianidin
logKow,0.91,Clothianidin
Kp-L,3.136840431,Carbaryl
Kn-L,0.399723087,Carbaryl
fsoil,0.368,Carbaryl
Hsoil,0.05,Carbaryl
Psoil,1.95,Carbaryl
cf1,100,Carbaryl
cf2,1000,Carbaryl
KupSoil,47.03205298,Carbaryl
KelAir,1.53E-02,Carbaryl
KelDeg,0.118689586,Carbaryl
KelGrow,0.035,Carbaryl
KdissSoil,0.470141919,Carbaryl
fsurface,0.467,Carbaryl
LAI,2,Carbaryl
LMA,0.08,Carbaryl
Wleaf,0.8,Carbaryl
KupSurface,4.94E-03,Carbaryl
KdissSurface,1.880567677,Carbaryl
logKow,2.36,Carbaryl
Kp-L,3.081225565,Carbofuran
Kn-L,0.41804759,Carbofuran
fsoil,0.368,Carbofuran
Hsoil,0.05,Carbofuran
Psoil,1.95,Carbofuran
cf1,100,Carbofuran
cf2,1000,Carbofuran
KupSoil,49.29795466,Carbofuran
KelAir,1.56E-02,Carbofuran
KelDeg,0.213934315,Carbofuran
KelGrow,0.035,Carbofuran
KdissSoil,0.449286661,Carbofuran
fsurface,0.467,Carbofuran
LAI,2,Carbofuran
LMA,0.08,Carbofuran
Wleaf,0.8,Carbofuran
KupSurface,2.72E-03,Carbofuran
KdissSurface,1.797146642,Carbofuran
logKow,2.32,Carbofuran
Kp-L,4.335155468,Chlorpyrifos
Kn-L,0.00987578,Chlorpyrifos
fsoil,0.368,Chlorpyrifos
Hsoil,0.05,Chlorpyrifos
Psoil,1.95,Chlorpyrifos
cf1,100,Chlorpyrifos
cf2,1000,Chlorpyrifos
KupSoil,0.133430407,Chlorpyrifos
KelAir,5.54E-02,Chlorpyrifos
KelDeg,0.144707136,Chlorpyrifos
KelGrow,0.035,Chlorpyrifos
KdissSoil,0.102986941,Chlorpyrifos
fsurface,0.467,Chlorpyrifos
LAI,2,Chlorpyrifos
LMA,0.08,Chlorpyrifos
Wleaf,0.8,Chlorpyrifos
KupSurface,3.95E-02,Chlorpyrifos
KdissSurface,4.12E-01,Chlorpyrifos
logKow,4.96E+00,Chlorpyrifos
Kp-L,4.349947735,Bifenthrin
Kn-L,3.48E-05,Bifenthrin
fsoil,0.368,Bifenthrin
Hsoil,0.05,Bifenthrin
Psoil,1.95,Bifenthrin
cf1,100,Bifenthrin
cf2,1000,Bifenthrin
KupSoil,1.17E-07,Bifenthrin
KelAir,1.76E-05,Bifenthrin
KelDeg,0.213934315,Bifenthrin
KelGrow,0.035,Bifenthrin
KdissSoil,0.19804949,Bifenthrin
fsurface,0.467,Bifenthrin
LAI,2,Bifenthrin
LMA,0.08,Bifenthrin
Wleaf,0.8,Bifenthrin
KupSurface,8.40E+00,Bifenthrin
KdissSurface,7.92E-01,Bifenthrin
logKow,8.15E+00,Bifenthrin
Kp-L,0.253383812,Glyphosate
Kn-L,0.901169148,Glyphosate
fsoil,0.368,Glyphosate
Hsoil,0.05,Glyphosate
Psoil,1.95,Glyphosate
cf1,100,Glyphosate
cf2,1000,Glyphosate
KupSoil,1.92E-04,Glyphosate
KelAir,6.16E-05,Glyphosate
KelDeg,0.155066483,Glyphosate
KelGrow,0.035,Glyphosate
KdissSoil,3.470401892,Glyphosate
fsurface,0.467,Glyphosate
LAI,2,Glyphosate
LMA,0.08,Glyphosate
Wleaf,0.8,Glyphosate
KupSurface,2.56E-08,Glyphosate
KdissSurface,1.39E+01,Glyphosate
logKow,-3.4,Glyphosate
