Class,Compound
Insecticide-Carbamate,CARBOFURAN
Insecticide-Carbamate,CARBARYL
Herbicide-Phosphonate,GLYPHOSATE
Herbicide-Phosphonate,ATRAZINE
Herbicide-Phosphonate,ACETOCHLOR
Insecticide-Neonicotinoid,CLOTHIANIDIN
Insecticide-Neonicotinoid,IMIDACLOPRID
Insecticide-Neonicotinoid,THIAMETHOXAM
Insecticide-Organophosphate,ACEPHATE
Insecticide-Organophosphate,CHLORPYRIFOS
Insecticide-Organophosphate,DIMETHOATE
Insecticide-Organophosphate,MALATHION
Insecticide-Organophosphate,CHLORETHOXYFOS
Insecticide-Organophosphate,PHORATE
Insecticide-Pyrethroid,BIFENTHRIN
Insecticide-Pyrethroid,PERMETHRIN
