"","year","thresh","sum_field","sum_nass","sum_cdl","County","State","type","Label","avgfield","avgnass","avgcdl","percentf","percentn","percentc"
"1",2008,1,531734.912596069,531114,524317.4955945,"Champaign","Illinois","Large","Champaign County, Illinois",531676.967497542,562386.666666667,528591.398964,4.6,5.5,-0.6
"2",2008,1,374140.833667244,360027,375145.717536,"Huron","Michigan","Large","Huron County, Michigan",372795.455570591,384132,382556.2729335,11.4,3,2.6
"3",2008,1,279309.953220422,279685,282111.87114,"Rock","Wisconsin","Large","Rock County, Wisconsin",279719.819111994,284361.666666667,282601.287303,21.4,1.6,1
"4",2008,1,143391.959263323,190132,154736.755632,"McHenry","Illinois","Large","McHenry County, Illinois",143290.502610981,194421,162485.0541435,42,26.3,11.8
"5",2008,1,96270.625995394,119273,124330.534803,"VanBuren","Michigan","Large","VanBuren County, Michigan",93966.4826433546,117068,120369.985284,33.9,19.7,21.9
"6",2008,1,99926.5784217222,97278,135424.2396465,"Waushara","Wisconsin","Large","Waushara County, Wisconsin",99397.829231212,99514,130535.19309,31.1,0.1,23.9
"7",2008,1,37483.2921118726,64609,72513.061092,"Oceana","Michigan","Large","Oceana County, Michigan",36669.2012353925,77951.6666666667,76149.4335615,61.5,53,51.8
"8",2008,1,51859.2479574589,67132,74233.2825495,"Langlade","Wisconsin","Large","Langlade County, Wisconsin",53107.1562220531,66750.6666666667,73992.577569,22.6,20.4,28.2
"9",2008,1,1958.51484691668,5318,4791.9342915,"DuPage","Illinois","Large","DuPage County, Illinois",1197.31750711891,2565,2953.6213545,70.1,53.3,59.5
"10",2008,1,559289.498387642,531154,524322.165879,"Champaign","Illinois","Small","Champaign County, Illinois",557983.407107109,562476,528602.815215,6.5,0.8,-5.6
"11",2008,1,424849.611370732,360027,375145.717536,"Huron","Michigan","Small","Huron County, Michigan",421465.880735589,384134,382629.440724,13.9,-9.7,-10.1
"12",2008,1,329664.856286247,279749,282122.3236815,"Rock","Wisconsin","Small","Rock County, Wisconsin",330124.174855935,284433.666666667,282625.305909,26.2,-16.1,-16.8
"13",2008,1,188614.290963365,190192,154781.9017155,"McHenry","Illinois","Small","McHenry County, Illinois",189167.006480025,194544,162517.301346,43.8,2.8,-16.4
"14",2008,1,160373.802288803,119382,124353.4414365,"VanBuren","Michigan","Small","VanBuren County, Michigan",150673.02609569,117977.666666667,120448.268148,48.5,-27.7,-25.1
"15",2008,1,155449.149439574,97286,135426.241197,"Waushara","Wisconsin","Small","Waushara County, Wisconsin",153489.549584625,99517.3333333333,130539.7151115,41.5,-54.2,-17.6
"16",2008,1,92399.4407337437,65135,72515.285037,"Oceana","Michigan","Small","Oceana County, Michigan",90051.7804263984,78365,76179.753345,67.1,-14.9,-18.2
"17",2008,1,79166.7575151669,67132,74233.2825495,"Langlade","Wisconsin","Small","Langlade County, Wisconsin",82289.9354821848,66750.6666666667,73992.577569,33.9,-23.3,-11.2
"18",2008,1,2600.30836288452,5318,4791.9342915,"DuPage","Illinois","Small","DuPage County, Illinois",1603.36823257717,2565,2953.6213545,71.7,37.5,45.7
